,City,cityID,clusterID,Typology,Country,Car Modeshare (%),Public Transit Modeshare (%),Bicycle Modeshare (%),Walking Modeshare (%),Gasoline Pump Price (USD/liter),Road Deaths Rate (per 1000),Subway Length (km),Subway Length Density (per km),Subway Stations per Hundred Thousand,Subway Ridership per Capita,Subway Age (years),BRT Length (km),BRT System Length Density (per km),BRT Stations per Hundred Thousand Persons,BRT Fleet per Hundred Thousand Persons,BRT Annual Ridership per Capita,BRT Age (years),Bikeshare Stations,Bikeshare Stations per Hundred Thousand Persons,Bikeshare Number of Bikes,Bikeshare Bicycles per Hundred Thousand Persons,Bikeshare Age (years),Congestion (%),Congestion AM Peak (%),Congestion PM Peak (%),Traffic Index,Travel Time Index,Inefficiency Index,Population,Land Area (sq. km),Population Density (per sq. km),Population Change 1990 – 2000,Population Change 2000 – 2010,Population Change 2010 – 2020,Population Change 2020 – 2025,Urbanization Rate 2015 (%),Urbanization Rate Change 2015 – 2025 (pp),GDP per Capita (USD),Unemployment Rate (%),Cost of Living Index,Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Gini Coefficient,Poverty Rate (%),Life Expectancy (years),Safety Index,Internet Penetration,Digital Penetration,Innovation Index,Smartphone Penetration (%),CO2 Emissions per Capita (metric tonnes),Pollution Index ,Street length total (m),Street Length Density (m/sq. km),Street Length Average (m),Intersection Count,Intersection Density (per sq. km),Degree Average,Streets per Node,Circuity,Self-Loop Proportion,Highway Proportion,Metro Propensity Factor,BRT Propensity Factor,BikeShare Propensity Factor,Development Factor,Sustainability Factor,Population Factor,Congestion Factor,Sprawl Factor,Network Density Factor
284,Baltimore(MD),285,7,Auto Sprawl,United States,85,6.1,0.3,2.6,0.66,8.5,24.9,0.013408724,0.615384615,6.417582418,34,0,0,0,0,0,0,50,2.197802198,,0,2,19,33,46,148.97,36.9,150.22,2275000,1857,1200,233673,332204,399059,195708,81.6,1.7,58789,7.2,77.33,48.58,76.48,78.28,150.69,0.443,22.9,78.8,31.19,81,0.78,45,72,14.3,,7468900.983,7604832752,148.0133367,28660,1018.199702,5.021972378,2.869906403,1.0677361,0.00790954,0.041018041,0.1608481108,0.1768672965,0.360637178,0.7962638195,0.3559643803,0.0819556235,0.1800854268,0.7221625923,0.4251872575
9,Melbourne,10,8,Auto Innovative,Australia,80,14,2,4,1.11,5.4,0,0,0,0,0,0,0,0,0,0,0,50,1.264222503,600,15.17067004,2,33,55,58,143.12,35.57,138.17,3955000,2543,1500,316060,462816,715525,350883,89.4,1.2,39358,5.5,79.04,44.3,72.93,76.07,139.62,,,82,60.23,86.9,0.74,50,77,10.2,26.77,8636838.53,8653670487,107.5035914,48571,1001.948856,4.948412698,2.876304876,1.036985249,0.001625523,0.014488999,0.0603867839,0.1683348531,0.3636753686,0.7861742392,0.3978941712,0.0822674181,0.333172875,0.5393552118,0.5589103703
185,Niamey,186,1,Congested Emerging,Niger,,9,2,60,1.02,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,1435000,130,11100,248392,541978,960996,741379,18.7,3.5,427.4,,,,,,,,18.6,61.8,,2.4,0.04,,,0.106860921,,2134329.2,3496994771,97.86011919,13033,1638.45145,6.161297392,3.187449777,1.019423308,0.0000949,0,0.0362202508,0.0109145588,0.3431610039,0,0.2736455259,0.2483983023,0.6554640043,0.2756052615,0.4103117074
327,Hanoi,328,12,MetroBike Emerging,Vietnam,8,10,2,,0.9,24.5,0,0,0,0,0,14.5,,0.143,,0.149,1,0,0,0,0,0,,,,160.6,40.78,189.18,7445000,868,8600,520495,1149423,1391900,608994,33.6,6.3,3425,6.84,41.73,17.15,37.25,22.72,23.47,0.34,5.4,76,54.64,50.1,0.31,35,35,1.700368284,89.66,8079366.816,1156633569,300.3705412,15881,143.1589375,5.205794631,2.870472944,1.097533266,0.000920773,0.022938148,0.0780280028,0.0845106353,0.3588676925,0.1576759725,0.5090572885,0.2925636585,0.624622547,0.6667099834,0.2391131189
66,Urumqi,67,12,MetroBike Emerging,China,21.7,54.7,,,1.16,18.8,0,0,0,0,0,66,0.134146341,2.53776435,9.123867069,34.44108761,7,0,0,0,0,0,,,,,,,3310000,492,6700,556511,1249115,1610288,491541,55.6,9.8,12189,3.4,,,,,,0.32,,76.1,,50.1,0.43,,58,7.550916485,,8891135.865,216952973.8,546.9448736,9567,24.40104134,4.736408567,2.680313015,1.064156975,0.000347826,0.060127854,0.103334321,0.4472613519,0.3925514084,0.2872347043,0.8014635635,0.3229604384,0.5860188047,0.7918220423,0.0756169035
296,Milwaukee(WI),297,7,Auto Sprawl,United States,88.6,3.6,0.5,2.7,0.64,9.8,0,0,0,0,0,0,0,0,0,0,0,28,1.978798587,200,14.13427562,4,13,24,32,,,,1415000,1414,1000,82748,176893,261385,130360,81.6,1.7,56697,7.3,72.99,33.05,71.23,74.87,123.45,0.43,26.8,80,35.6,79.8,0.78,42,72,15.1,,5061233.232,9799272238,139.6202271,20332,1936.143187,5.579545967,3.280137203,1.035583156,0.003187032,0.02288307,0.0277873421,0.1667408345,0.3908619256,0.7300539272,0.3244672217,0.0441476341,0.098736216,0.680910553,0.5828463687
89,Paris,90,9,MassTransit Heavyweight,France,12,33,3,47,1.84,2.8,214,0.075219684,2.778288868,140.3863845,117,41,0.014411248,0.496780129,0.653173873,2.470101196,25,1229,11.30634775,14500,133.3946642,11,38,68,66,150.15,38.73,117.34,10870000,2845,3700,408940,777107,1164656,481828,79.5,2.2,71671,8.9,83.82,45.54,77.1,84.29,97.36,,,83,47.97,83.3,0.72,54,49,7.9,67.65,2571981.812,14853757254,97.79398524,15863,5775.218621,4.070465213,3.148535441,1.024124631,0.001518027,0.008955102,0.7672363124,0.370779622,0.5630012437,0.7176626931,0.4014493318,0.1792076094,0.5876993408,0.0827914318,0.8604962816
321,Montevideo,322,5,Hybrid Moderate,Uruguay,,,,,1.74,16.6,0,0,0,0,0,6,0.019292605,1.302681992,,5.747126437,6,0,0,0,0,0,,,,236.03,55.12,246.31,1305000,311,4200,59144,54201,156486,83406,95.3,1.2,14010,,67.17,19.08,54.23,63.92,36.99,0.43,10.1,77,43.2,60.5,0.54,35,,2.231639431,58.63,4320734.939,4413598002,128.1774879,19234,1021.492423,5.615611614,3.212327463,1.021138135,0.000474641,0,0.0888911662,0.2219730719,0.32873541,0.4172862341,0.2222785355,0.0236044728,0.5331817422,0.2119928126,0.5016696372
200,Krakow,201,5,Hybrid Moderate,Poland,27,46,1,25,1.41,6,0,0,0,0,0,0,0,0,0,0,0,34,4.473684211,230,30.26315789,10,38,57,70,100.57,31.64,82.57,760000,220,3500,20809,712,16318,30691,60.5,0.9,16843,10.9,39.58,15.96,30.8,32.66,76.46,0.33,,77.5,68.61,65,0.59,38,41,8,67.78,2526308.757,4715254848,164.6018216,8958,1866.460239,4.555022312,2.596446914,1.070976574,0.001330869,0.012524013,0.0928085572,0.0818045563,0.5095064088,0.3882345177,0.4925328735,0.0444966578,0.5409400082,0.3127592591,0.3305748566
208,Yekaterinburg,209,2,BusTransit Sprawl,Russia,,,,,0.73,18.9,12.7,0.024517375,0.659340659,38.02197802,26,0,0,0,0,0,0,0,0,0,0,0,34,56,68,138.89,35,107.01,1365000,518,2600,-46300,44710,81031,39391,74,1.3,11279.6,,34.52,11.23,27.91,36.49,48.54,0.44,,70.5,48.8,61.4,0.5,35,45,12.46681628,,1975651.316,2480086285,230.8003874,4896,1255.325909,4.994186047,2.772609819,1.05730641,0.001034795,0,0.1961352358,0.1143074306,0.4153555557,0.2963043408,0.379869478,0.0399980632,0.5036758302,0.6512549167,0.3577068902
